Feature_Id|Name|Application_Id|Plan_Id|Is_SaaS
saas-dashboard|Central Backoffice|central-backoffice|1|1
reports|Client Backoffice|client-backoffice|1|1
companies|Companies|companies|1|1
merchants|Merchants|merchants|1|1
applications-list|Applications|merchants|1|1
features-list|Features|merchants|1|1
merchant-subscriptions|Merchant Subscriptions|merchants|1|1
plan-applications|Plan applications|merchants|1|1
plan-features|Plan features|merchants|1|1
subscription-plans|Subcription Plans|merchants|1|1
subscription|Subscription Applications|merchants|1|1
subscription-payments|Subscription payments|merchants|1|1
users|Users|users|1|1
dashboard|Restaurant Overview|dashboard-app|1|0
receipt-items|Receipt items|billing-transactions|1|0
receipt-orders|Receipts|billing-transactions|1|0
receipt-taxes|Receipts taxes|billing-transactions|1|0
customers|Customers|business-partners|1|0
journal-entries|Journal Entries|accounts-payable|2|0
journal-entries-lines|Journal Entries lines|accounts-payable|2|0
ledger-accounts|Ledger Accounts|accounts-payable|2|0
suppliers|Suppliers|accounts-payable|2|0
supplier-credit-notes|Supplier Credit Notes|accounts-payable|2|0
supplier-invoice-items|Supplier Invoice Items|accounts-payable|2|0
supplier-invoices|Supplier Invoices|accounts-payable|2|0
supplier-payment-items|Supplier Payment Items|accounts-payable|2|0
supplier-payments|Supplier Payments|accounts-payable|2|0
supplier-payments-allocation|Supplier Payments Allocation|accounts-payable|2|0
collaborators|Collaborators|hr|2|0
collaborators-contracts|Collaborators Contracts|hr|2|0
collaborators-time-entries|Collaborators Time Entries|hr|2|0
merchant-overtime-rules|Merchant Overtime Rules|payrolls|2|0
merchant-payroll-rules|Merchant Payroll Rules|payrolls|2|0
payroll-adjustments|Payroll Adjustments|payrolls|2|0
payroll-entries|Payroll Entries|payrolls|2|0
payroll-runs|Payroll Runs|payrolls|2|0
payroll-tax-detail|Payroll Tax Detail|payrolls|2|0
actual-cost-variance|Actual Cost Variance|food-costing|2|0
recipe-ingredients|Recipe Ingredients|food-costing|2|0
recipes|Recipes|food-costing|2|0
theoretical-cost|Theoretical Cost|food-costing|2|0
